loss,val_loss
6.892093,6.531273
6.3062835,5.898702
5.779246,5.680035
5.5934653,5.531774
5.4793577,5.4270105
5.354529,5.349939
5.2491217,5.198745
5.173918,5.153965
5.134043,5.194805
5.1210628,5.0997925
5.0882277,5.0899434
5.1099277,5.074377
5.0593576,5.064457
5.0539594,5.0426817
5.064717,5.257896
5.1158586,5.0976734
5.0474305,5.028032
5.017155,5.0080857
4.9987054,4.9927297
4.983103,4.9810815
4.97935,4.972516
4.9597864,4.9566393
4.9483833,4.94263
4.9394093,4.9641967
4.9280305,4.920149
4.9005117,4.888838
4.882607,4.8811474
4.8626037,4.8942895
4.880415,4.885877
4.8453145,4.8421545
4.833322,4.8349767
4.813461,4.809475
4.8060784,4.7896123
4.7833495,4.774057
4.7978125,4.8264413
4.774894,4.75459
4.7466283,4.797296
4.713595,4.742199
4.6888337,4.6783905
4.698883,4.6761627
4.6453485,4.782067
4.6599784,4.657573
4.667257,4.767095
4.600626,4.6401153
4.6224213,4.666836
4.5701036,4.604672
4.5610785,4.584461
4.5584345,4.5558534
4.5149393,4.546296
4.6376414,4.652448
4.5388107,4.551326
4.4952226,4.5372167
4.4884925,4.490045
4.4529786,4.5542526
4.464828,4.499324
4.463769,4.515296
4.4480824,4.413942
4.410244,4.467125
4.38507,4.4312778
4.438208,4.404064
4.415604,4.544959
4.406473,4.43467
4.415371,4.3999267
4.374772,4.378818
4.328644,4.348291
4.3136144,4.3801003
4.3260217,4.322449
4.319437,4.451994
4.298792,4.3158045
4.287927,4.255619
4.280014,4.270171
4.2877927,4.2499204
4.244226,4.4186854
4.2530146,4.303813
4.2161107,4.484788
4.2138944,4.2798223
4.1860266,4.1891785
4.231168,4.3015904
4.2940435,4.1746936
4.202028,4.185073
