loss,val_loss
6.687176,6.380524
6.119392,5.9865403
5.8896112,5.9516077
5.6189356,5.3499866
5.2853584,5.2207866
5.193393,5.1626945
5.085588,5.0473967
5.048191,5.0943027
5.0099654,4.983914
4.9539304,4.9382467
4.926591,4.9174047
4.9453416,5.0703964
4.948103,4.9020786
4.8896136,4.8876452
4.8778434,4.871453
4.863094,4.859268
4.8500237,4.84629
4.843107,4.8372707
4.828207,4.827636
4.8228803,4.8628798
4.830075,4.808499
4.8013268,4.8027925
4.7897573,4.7832017
4.7842193,4.7725906
4.7594743,4.757749
4.74892,4.752764
4.7335525,4.7229524
4.7191343,4.715534
4.697819,4.7074265
4.677566,4.664237
4.659742,4.644909
4.6670237,4.6717587
4.647324,4.607782
4.6656637,4.717068
4.6309385,4.6326537
4.6235356,4.6342187
4.5931225,4.6555557
4.568833,4.5907507
4.5351434,4.6084485
4.5036645,4.511208
4.500197,4.524956
4.4866657,4.469782
4.447649,4.5796127
4.445962,4.496481
4.443153,4.469315
4.4975553,4.436082
4.4267583,4.4195924
4.3983564,4.5056367
4.356968,4.364248
4.3735924,4.4184775
4.3452477,4.3268323
4.3077865,4.425152
4.3221717,4.3432684
4.2909107,4.301226
4.313282,4.6637564
4.3288283,4.329645
4.2859597,4.285183
4.2367926,4.2577105
4.2480273,4.286091
4.232499,4.2391143
4.229254,4.463276
4.4426594,4.251666
4.2463484,4.2064905
4.190713,4.3948603
4.202338,4.185396
4.1653924,4.1807046
4.1863775,4.3299923
4.164915,4.158391
4.1308203,4.122967
4.114351,4.2307715
4.086606,4.094282
4.1207495,4.154375
4.096931,4.245275
4.1017857,4.0704536
4.058549,4.2194066
4.0489326,4.00053
4.05866,4.156521
4.0833473,4.065644
3.9673483,4.1028767
3.9311304,3.9596395
